Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 31-Jan-2021 07:43:56
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
2.000000e-02     5.000000e-02     5.385165e-02     6.819859e+01     -2.871630e-04    1.914678e-02     -2.821487e-10    8.333250e-08     6.634891e-14     4.344634e-14     8.450857e-15     3.850162e-15     -1.041300e-15    1.792556e-15     5.715663e-16     2.125406e-17     2.060695e-16     1.529248e-17     8.294616e-18     -6.978198e-17    -2.559378e-17    -3.449177e-16    -9.663512e-15    -1.434536e-15    1.082263e-14     -1.522066e-15    -1.165910e-15    -4.872159e-15    -4.123650e-14    -1.894323e-14    1.003933e-10     -1.004235e-10    5.356203e+03     -7.600902e-10    -5.356203e+03    -7.610144e-10    -7.191142e+03    -1.842054e-09    7.191142e+03     -1.842819e-09    1.808501e-10     -8.321393e-08    -1.910474e-03    -1.732977e-05    1.912158e-03     -1.736453e-05    -3.205494e-01    -1.991191e-04    
3.000000e-02     5.000000e-02     5.830952e-02     5.903624e+01     -1.593834e-04    2.754022e-02     -1.273410e-10    1.319015e-07     4.113893e-10     2.791201e-10     2.008838e-14     9.415372e-15     -4.643596e-14    3.956676e-15     2.071111e-15     2.127455e-15     -3.351966e-18    8.961945e-17     -1.380589e-15    7.224120e-17     4.821029e-17     -4.808268e-18    -1.023293e-16    -3.510064e-17    -5.359359e-15    -4.385960e-16    3.288580e-15     -1.147401e-15    1.167781e-15     -1.713478e-15    2.633486e-13     -2.019424e-13    -5.356204e+03    -2.568988e-09    5.356204e+03     -2.569435e-09    -7.191143e+03    -6.223340e-09    7.191143e+03     -6.223685e-09    -2.848943e-10    -1.321505e-07    -2.862013e-03    -2.626354e-05    2.865316e-03     -2.657171e-05    -3.188785e-01    -1.169771e-04    
4.000000e-02     5.000000e-02     6.403124e-02     5.134019e+01     4.594650e-04     3.583812e-02     -1.848320e-10    1.793125e-07     -1.428857e-13    1.057346e-13     2.842251e-14     4.232038e-14     1.444723e-13     7.466273e-15     -3.825353e-16    9.918916e-16     -4.318781e-17    5.116488e-16     1.855464e-16     9.280075e-17     3.907790e-17     -1.602527e-17    -2.346239e-16    -1.674135e-17    6.633030e-16     -7.460594e-16    -9.578306e-15    -7.438898e-15    -2.776098e-15    -1.838525e-14    2.079233e-10     -2.028284e-10    -5.356206e+03    -6.092411e-09    5.356206e+03     -6.093092e-09    -7.191144e+03    -1.475224e-08    7.191144e+03     -1.475379e-08    -2.367472e-11    -1.790679e-07    -3.802995e-03    -3.624858e-05    3.809602e-03     -3.741539e-05    3.277429e-01     -4.286121e-05    
5.000000e-02     5.000000e-02     7.071068e-02     4.500000e+01     2.669113e-03     4.610437e-02     -1.159476e-10    2.262168e-07     -1.987746e-13    6.579475e-14     -8.422185e-14    2.041817e-14     2.667135e-15     1.036050e-14     6.748231e-14     8.381061e-15     4.148345e-17     1.920999e-16     8.912271e-16     3.333689e-17     -7.123156e-17    -2.366531e-17    6.313829e-17     -8.821574e-17    1.538050e-16     -2.123789e-16    -8.575733e-16    -1.051115e-15    -1.437872e-14    -1.224042e-14    1.881412e-10     -2.729791e-10    5.356207e+03     -1.189720e-08    -5.356207e+03    -1.189866e-08    7.191145e+03     -2.881301e-08    -7.191145e+03    -2.881349e-08    -7.237402e-11    -2.258907e-07    3.298260e-01     -9.346221e-06    -4.711343e-03    -5.199402e-05    4.725952e-03     -5.401171e-05    
6.000000e-02     5.000000e-02     7.810250e-02     3.980557e+01     1.161682e-02     6.095876e-02     3.322496e-01     9.591675e-06     3.236883e-10     2.716957e-07     2.516089e-14     8.183897e-14     1.070564e-14     4.263609e-15     -7.268309e-16    7.743218e-16     1.326722e-15     3.256995e-16     -1.999405e-16    1.003179e-16     -1.526677e-17    -3.747388e-17    5.989561e-17     -1.308806e-16    -4.996053e-16    -1.454795e-16    9.440173e-15     -5.286980e-15    -3.235654e-14    -3.814020e-14    -1.220253e-13    -9.950939e-14    -1.783040e-10    -2.350189e-10    5.356210e+03     -2.055493e-08    -5.356210e+03    -2.055647e-08    -7.191146e+03    -4.979038e-08    7.191146e+03     -4.979078e-08    -1.459100e-10    -2.713968e-07    5.554548e-03     -7.401650e-05    -5.537757e-03    -1.243449e-04    
7.000000e-02     5.000000e-02     8.602325e-02     3.553768e+01     3.408290e-02     7.579106e-02     3.350772e-01     2.656204e-05     -1.348798e-09    3.156755e-07     4.681165e-11     1.385970e-10     -5.174612e-14    1.010971e-13     3.501521e-14     2.735641e-15     5.534884e-15     2.510363e-15     4.975169e-16     3.944179e-16     -6.228217e-17    1.227753e-16     -3.812880e-16    -3.544651e-17    -2.463100e-17    -8.982599e-17    3.260905e-16     -1.305762e-15    -9.438628e-16    -4.388823e-15    -6.653992e-14    -1.513686e-14    2.134911e-13     -1.308763e-13    5.356212e+03     -3.264328e-08    -5.356212e+03    -3.264330e-08    7.191148e+03     -7.906318e-08    -7.191148e+03    -7.906326e-08    1.300333e-09     -3.157406e-07    6.233587e-03     -2.457825e-05    -6.366981e-03    -3.546737e-04    
8.000000e-02     5.000000e-02     9.433981e-02     3.200538e+01     6.596952e-02     8.494335e-02     6.867952e-03     5.361376e-05     3.383631e-01     2.632247e-05     -2.691914e-09    3.611964e-07     -7.716711e-14    5.344177e-14     -2.796795e-13    3.187061e-14     -8.994867e-17    5.966696e-16     -2.956751e-16    2.348204e-16     1.596265e-16     6.360722e-17     -1.941226e-16    -7.576390e-17    3.387995e-16     -7.042895e-16    1.564350e-15     -1.568512e-15    1.917551e-14     -3.490679e-15    -1.125759e-14    -5.945957e-15    -7.337134e-14    -1.297393e-13    -2.524309e-10    -1.369640e-10    5.356216e+03     -4.872533e-08    -5.356216e+03    -4.873029e-08    7.191150e+03     -1.180179e-07    -7.191150e+03    -1.180193e-07    2.941815e-09     -3.609757e-07    -7.258359e-03    -5.757562e-04    
9.000000e-02     5.000000e-02     1.029563e-01     2.905460e+01     1.004400e-01     8.866354e-02     -3.219230e-09    4.061636e-07     -9.324572e-10    5.171899e-10     1.991120e-13     7.755043e-14     5.092137e-14     4.049609e-14     -2.141883e-13    2.947786e-14     -1.170914e-16    3.011952e-16     -7.903978e-16    2.182230e-16     -1.052272e-16    5.471836e-17     1.401559e-17     -4.151883e-18    2.833499e-16     -7.120998e-17    -2.140795e-16    -6.174492e-16    -1.316462e-14    -2.077092e-14    -1.172122e-13    -6.908507e-14    5.356219e+03     -6.937895e-08    -5.356219e+03    -6.938064e-08    7.191152e+03     -1.680365e-07    -7.191152e+03    -1.680379e-07    4.148184e-09     -4.065872e-07    3.421630e-01     -1.001429e-05    7.553076e-03     -1.308000e-05    -8.096807e-03    -7.217274e-04    
1.000000e-01     5.000000e-02     1.118034e-01     2.656505e+01     1.341245e-01     8.799170e-02     -3.145518e-09    4.526555e-07     3.446077e-14     4.585315e-14     -5.675103e-15    4.001296e-14     1.026010e-14     2.053386e-15     8.279350e-16     8.080955e-16     -4.854561e-16    2.382640e-16     -3.295354e-17    9.709110e-17     -1.634078e-16    -3.837890e-17    4.870810e-17     -5.246132e-17    6.378373e-16     -5.391291e-16    1.089213e-13     -5.171679e-14    -2.925595e-13    -1.176005e-13    2.659295e-10     -5.179730e-10    5.356223e+03     -9.516884e-08    -5.356223e+03    -9.517082e-08    -7.191154e+03    -2.305022e-07    7.191154e+03     -2.305035e-07    2.876811e-09     -4.520331e-07    3.465489e-01     -1.048672e-04    8.372848e-03     -1.864765e-04    -8.891927e-03    -7.882223e-04    
1.100000e-01     5.000000e-02     1.208305e-01     2.444395e+01     1.658651e-01     8.398569e-02     -2.255592e-09    4.953437e-07     -3.352122e-13    1.487630e-13     1.121552e-13     6.587001e-14     7.430183e-15     1.783509e-14     -1.022950e-15    7.277628e-16     -2.648879e-16    6.224799e-16     -2.612869e-17    1.143344e-16     8.417393e-17     -8.983653e-17    1.003951e-17     -1.705606e-16    8.665012e-17     -3.800180e-16    -8.422901e-15    -1.813624e-15    -1.801037e-14    -1.061899e-13    -1.231297e-10    -1.102651e-10    5.356227e+03     -1.266680e-07    -5.356227e+03    -1.266709e-07    -7.191157e+03    -3.067952e-07    7.191157e+03     -3.067960e-07    2.377279e-09     -4.951200e-07    3.516104e-01     -2.922087e-04    9.305689e-03     -3.422592e-04    -9.695221e-03    -7.865856e-04    
