Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 23-Dec-2020 21:27:04
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
2.000000e-02     5.000000e-02     5.385165e-02     6.819859e+01     5.231733e-05     2.244299e-02     -5.356203e+03    1.150998e-13     6.206087e+03     8.743542e-14     7.191142e+03     8.615494e-14     3.228282e-01     6.210094e-14     -8.730524e-02    3.231462e-14     8.656060e-02     1.168162e-14     -1.839331e-03    6.645388e-15     2.074407e-02     5.738433e-15     1.204721e+00     7.996664e-16     1.552502e-01     5.257645e-16     -5.294196e-15    1.763872e-16     7.639080e-16     -2.099499e-16    2.443355e-01     -3.961758e-16    -1.957553e-02    -2.307874e-15    -8.094960e-01    -3.716165e-15    1.844147e-03     -6.921128e-15    -3.188024e-01    -5.725214e-14    -7.191142e+03    -8.615494e-14    -6.206087e+03    -8.743728e-14    5.356203e+03     -1.150998e-13    5.231733e-05     -2.244299e-02    
3.000000e-02     5.000000e-02     5.830952e-02     5.903624e+01     4.891383e-04     3.117608e-02     -5.356204e+03    3.158064e-14     7.191142e+03     2.365759e-14     3.078038e-02     2.343800e-14     9.376714e-02     2.019327e-14     3.240406e-01     1.926374e-14     -6.206087e+03    1.345620e-14     -2.747195e-03    2.578966e-15     1.304300e+00     8.017266e-16     2.330057e-01     1.767230e-17     -1.857746e-15    -1.042943e-17    5.679542e-16     -4.355051e-17    3.665153e-01     -1.784558e-16    2.756945e-03     -2.511990e-15    -7.127318e-01    -3.373247e-15    -9.546970e-02    -3.749797e-15    6.206087e+03     -1.345616e-14    -3.173117e-01    -1.533690e-14    -7.191142e+03    -2.365759e-14    -2.882878e-02    -2.961002e-14    5.356204e+03     -3.158063e-14    4.891383e-04     -3.117608e-02    
4.000000e-02     5.000000e-02     6.403124e-02     5.134019e+01     1.479149e-03     3.899983e-02     5.356205e+03     7.697342e-14     -7.191143e+03    5.684742e-14     -3.147470e-01    3.435339e-14     6.206087e+03     1.384740e-14     4.037325e-02     1.179230e-14     -6.183025e-01    5.576211e-15     -3.624905e-03    6.008754e-16     3.643287e-03     2.081553e-16     1.404002e+00     9.404042e-17     3.108053e-01     7.247085e-17     1.004185e-16     4.794687e-18     8.193547e-16     2.852987e-18     4.886376e-01     -6.134099e-17    1.019252e-01     -7.573665e-15    -6.206087e+03    -1.384745e-14    -3.743065e-02    -1.499615e-14    -1.049677e-01    -4.042337e-14    3.254683e-01     -4.319803e-14    7.191143e+03     -5.684742e-14    -5.356205e+03    -7.697342e-14    1.479149e-03     -3.899983e-02    
5.000000e-02     5.000000e-02     7.071068e-02     4.500000e+01     3.557153e-03     4.742803e-02     5.356207e+03     1.259300e-14     -7.191144e+03    9.920071e-15     -4.519760e-02    8.484487e-15     6.206087e+03     6.276419e-15     4.468150e-03     5.733808e-15     -3.095576e-01    2.018583e-15     1.763600e-15     1.954536e-16     1.503790e+00     1.086605e-16     3.883771e-01     9.506908e-17     6.107793e-01     -5.715575e-18    -1.360461e-16    -2.060318e-16    -5.287511e-01    -2.030880e-15    -1.152885e-01    -2.500458e-15    3.273647e-01     -2.754713e-15    -4.436648e-03    -5.457055e-15    -6.206087e+03    -6.276382e-15    1.104512e-01     -7.722092e-15    7.191144e+03     -9.920070e-15    -5.356207e+03    -1.259300e-14    4.931156e-02     -1.313838e-14    3.557153e-03     -4.742803e-02    
6.000000e-02     5.000000e-02     7.810250e-02     3.980557e+01     7.983184e-03     5.866832e-02     5.735925e-02     4.877150e-14     1.190126e-01     2.715169e-14     3.294133e-01     8.043855e-15     -5.356209e+03    7.685504e-15     -5.144313e-03    7.528888e-15     7.191145e+03     5.815494e-15     6.206087e+03     1.752657e-15     -1.994571e-16    6.363247e-16     7.329222e-01     3.395599e-16     4.660920e-01     3.089191e-16     1.603642e+00     -5.080952e-16    2.749289e-16     -5.420857e-16    -6.206087e+03    -1.752627e-15    -4.504351e-01    -2.831785e-15    -2.976424e-01    -4.422050e-15    -7.191145e+03    -5.815493e-15    5.190002e-03     -7.091070e-15    5.356209e+03     -7.685506e-15    -1.261683e-01    -1.524228e-14    -5.209728e-02    -7.357899e-14    7.983184e-03     -5.866832e-02    
7.000000e-02     5.000000e-02     8.602325e-02     3.553768e+01     1.753511e-02     7.517032e-02     -5.840268e-02    8.463630e-14     -5.356212e+03    3.861826e-14     -1.374460e-01    3.360557e-14     7.191147e+03     2.820031e-14     3.318005e-01     2.720845e-14     -6.206087e+03    6.574229e-15     5.803682e-03     4.321481e-15     1.703540e+00     1.022183e-15     6.187068e-18     -2.718230e-17    5.437972e-01     -1.240595e-16    1.944526e-15     -2.832884e-16    8.550640e-01     -9.421976e-16    -2.712466e-01    -1.024483e-15    6.206087e+03     -6.574234e-15    -5.751093e-03    -7.492632e-15    1.273899e-01     -1.340045e-14    -3.961742e-01    -2.725265e-14    -7.191147e+03    -2.820031e-14    6.434995e-02     -2.968345e-14    5.356212e+03     -3.861826e-14    1.753511e-02     -7.517032e-02    
8.000000e-02     5.000000e-02     9.433981e-02     3.200538e+01     3.683566e-02     9.727198e-02     1.354250e-01     2.017562e-14     -5.356215e+03    5.222711e-15     7.042117e-02     4.792829e-15     7.191149e+03     4.190280e-15     -6.206087e+03    3.597617e-15     3.345468e-01     2.327842e-15     -6.323665e-03    7.208142e-16     1.803475e+00     4.305077e-16     9.772033e-01     3.477733e-16     -2.340018e-01    1.821892e-16     2.808194e-16     1.110665e-16     6.215019e-01     -1.831322e-16    2.811044e-15     -4.336697e-16    -3.711754e-01    -1.571607e-15    6.206087e+03     -3.597618e-15    -7.191149e+03    -4.190281e-15    -1.489577e-01    -4.341009e-15    5.356215e+03     -5.222710e-15    6.371667e-03     -5.640098e-15    -6.467726e-02    -2.373349e-14    3.683566e-02     -9.727198e-02    
9.000000e-02     5.000000e-02     1.029563e-01     2.905460e+01     6.901699e-02     1.203426e-01     -7.144986e-02    1.449121e-13     -1.603563e-01    3.084328e-14     -5.356218e+03    2.184260e-14     7.191150e+03     1.442210e-14     6.973640e-03     1.352365e-14     -6.206087e+03    9.209526e-15     -2.056127e-01    8.581576e-16     6.992085e-01     5.421716e-16     3.376777e-01     2.993881e-16     1.099340e+00     1.697336e-16     2.680082e-16     1.483204e-16     4.705897e-16     -2.467467e-16    1.903438e+00     -4.223185e-16    -3.623609e-01    -4.412794e-16    6.206088e+03     -9.209518e-15    -7.191150e+03    -1.442210e-14    -6.936561e-03    -1.526397e-14    5.356218e+03     -2.184260e-14    1.430212e-01     -2.803266e-14    7.618928e-02     -1.669040e-13    6.901699e-02     -1.203426e-01    
1.000000e-01     5.000000e-02     1.118034e-01     2.656505e+01     1.117766e-01     1.382779e-01     -5.356222e+03    8.364442e-14     7.191153e+03     6.170853e-14     -1.703790e-01    5.067356e-14     3.412173e-01     4.822427e-14     1.501743e-01     2.865052e-14     8.240312e-02     2.544783e-14     -7.616913e-03    7.013574e-15     -6.206088e+03    2.841431e-15     2.003423e+00     5.239300e-16     6.701388e-16     3.222302e-16     8.093768e-17     -4.347982e-17    1.221472e+00     -1.641383e-16    7.769183e-01     -4.500698e-16    -1.930398e-01    -2.299255e-15    6.206088e+03     -2.841425e-15    7.643181e-03     -5.190257e-15    -7.893553e-02    -4.938738e-14    -3.599834e-01    -5.394077e-14    -7.191153e+03    -6.170853e-14    5.356222e+03     -8.364442e-14    1.117766e-01     -1.382779e-01    
1.100000e-01     5.000000e-02     1.208305e-01     2.444395e+01     1.607691e-01     1.481081e-01     8.942079e-02     1.001545e-13     5.356226e+03     4.306429e-14     1.569870e-01     3.422450e-14     -7.191155e+03    3.343987e-14     -3.605267e-01    3.323824e-14     -8.354185e-03    1.322851e-14     -6.206088e+03    2.735772e-15     8.546322e-01     1.707107e-16     -4.736417e-17    -1.100092e-17    1.132002e-15     -9.733804e-17    2.103429e+00     -1.129062e-16    1.343600e+00     -1.285226e-16    6.206088e+03     -2.735785e-15    -1.756956e-01    -3.560693e-15    8.372283e-03     -1.402633e-14    -1.949692e-01    -2.235858e-14    3.451857e-01     -2.944576e-14    7.191155e+03     -3.343987e-14    -5.356226e+03    -4.306430e-14    -8.708373e-02    -1.625674e-13    1.607691e-01     -1.481081e-01    
1.200000e-01     5.000000e-02     1.300000e-01     2.261986e+01     2.130478e-01     1.487513e-01     -3.627219e-01    6.377705e-14     9.720763e-02     5.577961e-14     5.356231e+03     4.878465e-14     -7.191158e+03    3.613111e-14     1.636074e-01     1.502347e-14     -9.128689e-03    8.866897e-15     -6.206088e+03    6.934796e-15     -1.780497e-01    5.191445e-15     1.465722e+00     6.676512e-16     -1.124103e-16    7.739893e-17     2.222427e-15     6.212665e-18     9.323510e-01     -3.388117e-16    2.203451e+00     -6.083554e-16    6.206088e+03     -6.934805e-15    9.141213e-03     -8.668376e-15    -2.053059e-01    -3.172678e-14    7.191158e+03     -3.613111e-14    -5.356231e+03    -4.878466e-14    3.495955e-01     -5.716919e-14    -9.574500e-02    -1.075004e-13    2.130478e-01     -1.487513e-01    
1.300000e-01     5.000000e-02     1.392839e-01     2.103751e+01     2.670881e-01     1.388511e-01     -1.047693e-01    3.142219e-13     5.356236e+03     8.939194e-14     -3.660387e-01    7.505514e-14     -7.191160e+03    6.604243e-14     9.933586e-03     3.145023e-14     -1.810246e-01    2.492204e-14     6.206088e+03     1.062473e-15     -2.003871e-15    1.457767e-16     -3.233808e-17    -1.058979e-17    1.010076e+00     -2.897026e-17    1.587838e+00     -3.472362e-16    2.303488e+00     -6.797048e-16    -6.206088e+03    -1.062473e-15    -2.180026e-01    -1.887240e-14    -9.924753e-03    -3.039270e-14    7.191160e+03     -6.604243e-14    3.544410e-01     -7.078869e-14    -5.356236e+03    -8.939194e-14    1.701271e-01     -9.864767e-14    1.055851e-01     -2.958608e-13    2.670881e-01     -1.388511e-01    
1.400000e-01     5.000000e-02     1.486607e-01     1.965382e+01     3.221767e-01     1.147625e-01     5.356242e+03     1.841868e-13     -3.702225e-01    1.596895e-13     -7.191163e+03    1.380431e-13     1.143732e-01     1.009361e-13     -1.848345e-01    1.827197e-14     -1.073244e-02    1.197477e-14     -6.206088e+03    5.356410e-15     1.709947e+00     1.572596e-15     -6.177051e-18    5.586373e-18     -2.450647e-15    -1.163458e-16    1.087807e+00     -2.267844e-16    2.403540e+00     -1.047515e-15    1.765445e-01     -2.529143e-15    6.206088e+03     -5.356428e-15    1.073882e-02     -1.274193e-14    -1.140349e-01    -1.360745e-13    7.191163e+03     -1.380431e-13    -2.315396e-01    -1.395451e-13    3.596499e-01     -1.515076e-13    -5.356242e+03    -1.841868e-13    3.221767e-01     -1.147625e-01    
1.500000e-01     5.000000e-02     1.581139e-01     1.843495e+01     3.783918e-01     6.087267e-02     1.234272e-01     1.613592e-13     5.356247e+03     1.358463e-13     -3.751343e-01    1.195615e-13     -7.191167e+03    9.864722e-14     -1.154597e-02    1.543724e-14     1.828044e-01     1.127065e-14     -1.891350e-01    9.105428e-15     -6.206089e+03    6.407256e-15     2.503605e+00     2.449249e-16     -2.345698e-18    1.028361e-16     1.832049e+00     -8.749339e-17    1.165546e+00     -1.235770e-16    -1.834085e-16    -1.403020e-16    6.206089e+03     -6.407278e-15    1.155069e-02     -1.596713e-14    7.191167e+03     -9.864721e-14    -2.455516e-01    -1.130036e-13    3.643248e-01     -1.137833e-13    -5.356247e+03    -1.358463e-13    -1.234483e-01    -1.783776e-13    3.783918e-01     -6.087267e-02    
1.600000e-01     5.000000e-02     1.676305e-01     1.735402e+01     -3.806878e-01    1.456037e-13     3.363822e-01     1.425867e-13     5.356254e+03     1.150709e-13     -7.191170e+03    8.928774e-14     -1.936571e-01    1.912049e-14     6.206089e+03     1.175669e-14     1.236569e-02     1.577331e-15     1.243293e+00     9.535512e-16     2.603684e+00     8.807594e-16     1.132089e-16     1.017263e-16     -4.483653e-17    2.881261e-20     -1.236211e-02    -8.102844e-16    1.954141e+00     -1.260978e-15    -1.329356e-01    -5.063156e-15    -6.206089e+03    -1.175669e-14    1.326353e-01     -1.304679e-14    1.888479e-01     -2.395620e-14    5.296678e-01     -4.195889e-14    7.191170e+03     -8.928774e-14    -2.599088e-01    -9.384255e-14    -5.356254e+03    -1.150709e-13    3.734941e-01     -1.301646e-13    
1.700000e-01     5.000000e-02     1.772005e-01     1.638954e+01     -1.424339e-01    4.340569e-13     -1.982379e-01    6.072042e-14     1.318186e-02     4.269095e-14     -2.745489e-01    4.225979e-14     3.796833e-01     3.206936e-14     -5.356260e+03    2.969605e-14     7.191174e+03     1.944586e-14     6.206089e+03     8.522740e-15     6.502009e-01     7.685817e-15     2.703777e+00     5.215257e-16     2.184319e-16     2.417449e-17     -2.692780e-17    -8.517665e-17    1.321051e+00     -3.691019e-16    2.076223e+00     -7.644478e-16    -6.206089e+03    -8.522744e-15    -7.191174e+03    -1.944586e-14    5.356260e+03     -2.969606e-14    -3.868219e-01    -3.408054e-14    -1.317909e-02    -4.335388e-14    3.292021e-01     -4.377878e-14    1.946404e-01     -1.068345e-13    1.419072e-01     -3.906677e-13    
1.800000e-01     5.000000e-02     1.868154e-01     1.552411e+01     3.868294e-01     5.686841e-13     -5.356267e+03    4.844437e-13     -2.894347e-01    4.185888e-13     7.191178e+03     3.735992e-13     -1.518823e-01    1.692419e-13     7.601146e-01     3.350150e-14     -2.027956e-01    2.080790e-14     1.399815e-02     2.021705e-14     6.206089e+03     1.961444e-15     1.398819e+00     1.541157e-15     2.198294e+00     8.799689e-16     3.538756e-15     7.034833e-17     -4.122070e-17    6.252267e-19     2.803885e+00     -1.796117e-16    -6.206089e+03    -1.961477e-15    -1.399597e-02    -1.997437e-14    2.001813e-01     -4.536671e-14    1.511625e-01     -1.040860e-13    -7.191178e+03    -3.735993e-13    3.326422e-01     -4.574698e-13    5.356267e+03     -4.844437e-13    -3.934872e-01    -6.063469e-13    
1.900000e-01     5.000000e-02     1.964688e-01     1.474356e+01     -4.006404e-01    3.835841e-13     3.403636e-01     2.357717e-13     5.356275e+03     2.021111e-13     -1.612134e-01    1.480321e-13     -7.191182e+03    1.458044e-13     2.055067e-01     1.147338e-14     1.481399e-02     9.213987e-15     -6.206090e+03    7.778290e-15     1.476600e+00     8.413890e-16     2.320352e+00     4.559392e-16     2.904008e+00     2.334527e-16     2.472083e-17     8.216542e-20     -2.888355e-15    -7.871156e-17    6.206090e+03     -7.778300e-15    -1.481223e-02    -9.169361e-15    -2.073105e-01    -1.285304e-14    8.660768e-01     -1.392911e-14    7.191182e+03     -1.458044e-13    1.603192e-01     -1.857025e-13    -5.356275e+03    -2.021111e-13    -3.045411e-01    -2.077117e-13    3.944928e-01     -3.598059e-13    
