Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-May-2021 16:02:05
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
1.000000e-02     1.745329e-06     1.000000e-02     1.000000e-02     -1.656348e+04    3.491819e-11     -1.750636e+04    1.970519e-11     -1.147142e-02    5.915047e-12     1.750636e+04     3.489924e-12     -5.416015e-13    6.256740e-13     -1.004746e-14    1.190835e-13     4.910426e-14     3.763448e-15     -9.684673e-15    2.362395e-15     -3.997309e-13    -2.952663e-15    -1.327039e-08    -8.798523e-14    1.327108e-08     -1.937078e-13    2.437481e-13     -3.007427e-13    -1.567149e+04    -4.251809e-12    1.567149e+04     -2.006356e-11    
2.000000e-02     3.490658e-06     2.000000e-02     1.000000e-02     -1.957026e-08    2.662848e-11     1.656348e+04     1.346071e-11     1.750636e+04     7.006937e-12     1.567149e+04     4.586955e-12     -1.750636e+04    1.178116e-12     -1.508841e-14    1.954823e-13     4.581370e-13     1.705922e-13     -3.380709e-14    4.325375e-14     4.722826e-15     -1.010119e-14    1.432969e-13     -3.692421e-13    2.805490e-13     -5.299109e-13    -1.567149e+04    -6.087434e-12    -1.656348e+04    -1.301065e-11    1.957023e-08     -2.668203e-11    
3.000000e-02     5.235988e-06     3.000000e-02     1.000000e-02     -1.567149e+04    1.807194e-11     -1.656348e+04    1.724754e-11     -2.871563e-08    1.147635e-11     -1.750636e+04    7.000957e-12     3.408961e-02     2.724660e-12     -3.408961e-02    1.984049e-12     1.567149e+04     1.526285e-12     6.606502e-13     1.240018e-13     -7.492226e-14    9.157629e-14     -2.436085e-14    9.911062e-15     2.794321e-13     -3.088756e-14    -5.047704e-14    -4.107271e-14    -5.066487e-13    -9.743282e-13    1.750636e+04     -9.695326e-12    
4.000000e-02     6.981317e-06     4.000000e-02     1.000000e-02     -2.183396e-11    4.119212e-08     -4.523669e-02    6.063512e-10     4.523669e-02     6.048957e-10     1.656348e+04     2.576262e-10     1.750637e+04     3.727321e-11     -8.404092e-14    1.909350e-13     3.210945e-15     2.519401e-15     -6.449817e-13    -1.714367e-14    -8.076400e-14    -3.492268e-14    4.536314e-14     -4.215378e-14    -1.561518e-13    -7.406480e-13    -1.750637e+04    -2.052564e-12    1.567150e+04     -5.791456e-12    -1.567150e+04    -4.045823e-11    
5.000000e-02     8.726646e-06     5.000000e-02     1.000000e-02     -4.441957e-11    8.140255e-08     5.627597e-02     3.034327e-09     -5.627597e-02    3.020434e-09     1.656348e+04     4.847228e-10     1.567150e+04     1.183667e-11     1.750637e+04     9.711562e-12     7.961736e-14     5.112186e-14     -7.837783e-16    -9.410703e-16    -2.091532e-12    -9.860757e-15    1.005114e-12     -2.135871e-14    3.771275e-14     -8.894351e-14    5.145917e-14     -4.700344e-13    -1.567150e+04    -1.050854e-11    -1.750637e+04    -1.449280e-11    
6.000000e-02     1.047198e-05     6.000000e-02     1.000000e-02     -8.765836e-11    7.037100e-08     6.720762e-02     8.353670e-09     -6.720762e-02    8.336699e-09     1.656348e+04     2.348082e-10     1.750638e+04     1.834238e-11     1.567151e+04     1.803000e-11     -1.990418e-13    2.762780e-13     -5.038990e-17    2.166830e-16     -9.223837e-14    -1.418668e-14    3.408129e-14     -7.084786e-14    -2.319160e-13    -2.802318e-13    -1.846150e-12    -9.525900e-13    -1.750638e+04    -1.395328e-11    -1.567151e+04    -2.673068e-11    
7.000000e-02     1.221730e-05     7.000000e-02     1.000000e-02     7.803184e-02     1.739275e-08     -7.803184e-02    1.738218e-08     -5.681421e-08    1.164679e-10     1.656348e+04     4.403151e-11     -1.567151e+04    2.325372e-11     1.567151e+04     8.255419e-12     -2.504267e-13    1.048065e-12     8.064109e-13     1.782945e-13     4.328920e-13     1.119677e-13     -3.866106e-14    5.158989e-14     1.579254e-15     5.148514e-16     -6.067567e-14    -6.401575e-14    -1.750638e+04    -5.492194e-12    1.750638e+04     -1.818244e-11    
8.000000e-02     1.396263e-05     8.000000e-02     1.000000e-02     -4.523050e-08    1.095612e-07     8.874884e-02     2.812646e-08     -8.874884e-02    2.811759e-08     -1.656348e+04    1.090744e-10     -1.750639e+04    6.775769e-12     1.750639e+04     2.067866e-12     -5.802163e-13    7.320151e-13     -5.744381e-15    7.921788e-14     -1.567152e+04    6.034929e-14     -3.430166e-15    2.762371e-15     1.757671e-14     -1.741189e-14    -2.465900e-13    -1.049116e-13    -8.749941e-14    -4.249896e-13    1.567152e+04     -1.341679e-11    
9.000000e-02     1.570796e-05     9.000000e-02     1.000000e-02     -3.397064e-10    7.707073e-08     -9.935886e-02    3.298852e-08     9.935886e-02     3.298493e-08     -1.656348e+04    4.167609e-10     1.567153e+04     2.592083e-11     -1.567153e+04    1.047734e-11     -5.858473e-13    5.305426e-13     -7.250199e-14    1.764927e-13     1.232606e-14     1.402287e-13     3.628724e-15     7.735303e-16     -3.809332e-13    -1.263185e-13    7.057498e-14     -2.022566e-13    1.750639e+04     -7.692346e-12    -1.750639e+04    -2.583163e-11    
1.000000e-01     1.745329e-05     1.000000e-01     1.000000e-02     2.783389e-10     9.212567e-08     1.098622e-01     1.630649e-08     -1.098622e-01    1.628949e-08     -1.656348e+04    2.414287e-11     -1.750640e+04    1.093421e-11     1.750640e+04     7.562404e-12     -4.568928e-14    6.397268e-13     9.315555e-14     1.383528e-13     -4.079866e-14    1.229984e-13     2.654023e-16     -3.567224e-15    -2.579487e-13    -3.031070e-13    -6.250239e-13    -5.345437e-13    1.567154e+04     -6.788823e-12    -1.567154e+04    -7.778744e-12    
