Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:26:50
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
4.924039e-02     8.682409e-03     5.000000e-02     1.000000e+01     3.948503e-02     1.579900e-01     7.107589e-03     2.231746e-02     -3.486019e-08    1.453430e-07     3.997903e-11     2.510972e-11     3.038470e+04     8.345773e-12     -2.854978e+04    4.085154e-12     -3.603464e-13    1.604692e-13     -5.333654e-14    5.675983e-14     3.473977e-15     3.180954e-14     -9.057324e-18    5.764535e-19     9.233032e-19     -2.450478e-19    1.374484e-17     -6.586749e-18    -4.231895e-18    -1.025132e-17    1.006617e-16     -2.379473e-17    -2.491011e-17    -2.950928e-16    5.797378e-14     -3.350096e-14    2.854978e+04     -6.115774e-12    -3.038470e+04    -7.292036e-12    -1.530055e-10    -1.652463e-10    4.332612e-02     -2.193500e-09    -2.930595e-02    -7.805573e-09    -5.477120e-01    -1.637574e-08    
7.386058e-02     1.302361e-02     7.500000e-02     1.000000e+01     6.030870e-02     1.891927e-01     1.036361e-02     3.336225e-02     -1.203248e-07    4.760933e-09     -1.761670e-10    2.056892e-10     -5.080168e-14    7.665839e-14     -9.734121e-18    3.057294e-16     2.317070e-17     6.371929e-18     -1.473670e-17    5.502015e-18     1.001614e-19     9.309107e-20     -1.143547e-18    -7.409104e-18    1.678522e-16     -2.315710e-17    9.577478e-15     -8.905505e-15    6.790298e-14     -4.663778e-14    -2.478315e-14    -1.667685e-13    2.854980e+04     -2.473405e-12    -2.854980e+04    -3.457151e-12    -3.038472e+04    -6.151626e-12    3.038472e+04     -1.154572e-11    1.677750e-10     -1.246258e-11    6.485306e-02     -9.770735e-10    1.203538e-07     -4.879259e-09    -4.362134e-02    -3.909367e-08    
9.848078e-02     1.736482e-02     1.000000e-01     1.000000e+01     8.194919e-02     2.136294e-01     1.328288e-02     4.424943e-02     8.621567e-02     9.701780e-09     -4.962419e-08    7.258613e-09     4.166893e-10     1.790064e-09     -2.854983e+04    2.032207e-11     2.854983e+04     9.015349e-12     1.575623e-13     1.935438e-13     9.699301e-16     3.262198e-14     1.671023e-16     4.738570e-16     -6.765595e-17    9.071094e-17     -1.336883e-17    1.679186e-17     1.259757e-17     4.227731e-18     4.432198e-19     -3.855530e-19    1.407525e-16     -7.695835e-17    8.735930e-14     -6.944917e-14    -1.035681e-13    -1.507219e-13    3.038475e+04     -3.342183e-12    9.536371e-11     -1.010405e-11    -3.038474e+04    -1.230703e-11    4.907152e-08     -8.921472e-09    -5.447177e-01    -9.490674e-08    
1.231010e-01     2.170602e-02     1.250000e-01     1.000000e+01     1.044651e-01     2.336552e-01     1.579019e-02     5.489789e-02     3.215900e-08     2.384636e-07     1.073575e-01     4.004707e-08     -1.315549e-11    9.869085e-11     8.065239e-11     6.865000e-11     2.854987e+04     1.353964e-11     9.349392e-14     1.333874e-13     1.286855e-16     2.570418e-14     -5.024518e-16    6.008134e-16     -3.479212e-17    4.112192e-17     -4.504859e-18    3.182977e-18     -7.531242e-19    -5.943458e-19    9.355607e-18     -5.686983e-18    -8.999973e-17    -1.154195e-16    -1.807496e-13    -8.254323e-14    1.668024e-14     -1.044033e-13    3.038478e+04     -3.342183e-12    -2.854987e+04    -3.923335e-12    -3.038478e+04    -7.030110e-12    -8.397409e-01    -1.547149e-07    -5.427484e-01    -1.580960e-07    
1.477212e-01     2.604723e-02     1.500000e-01     1.000000e+01     1.278910e-01     2.505668e-01     1.784425e-02     6.521469e-02     1.282210e-01     1.067400e-07     -2.577091e-07    6.118364e-08     3.434935e-11     9.578235e-11     -6.840851e-14    7.019814e-14     4.043163e-14     4.116854e-14     -1.367005e-16    2.759170e-16     -6.397692e-16    2.664689e-16     2.460952e-17     5.056861e-17     -2.199629e-18    2.865766e-18     6.096809e-19     -9.756492e-21    2.766024e-17     -1.173812e-17    1.089829e-13     -4.961772e-15    2.610652e-13     -9.465924e-13    3.038482e+04     -3.342183e-12    -3.038482e+04    -5.038174e-12    2.854991e+04     -6.563307e-12    -2.854991e+04    -8.034930e-12    4.875104e-11     -4.942576e-11    2.575817e-07     -6.138988e-08    -8.110076e-01    -1.610523e-07    
1.723414e-01     3.038843e-02     1.750000e-01     1.000000e+01     1.522303e-01     2.652001e-01     1.944330e-02     7.510483e-02     1.487468e-01     2.337062e-07     -8.820924e-08    1.897171e-07     -2.638757e-11    7.166759e-12     -2.854997e+04    2.197428e-12     -6.082084e-13    4.865597e-13     -7.438252e-14    8.231769e-15     3.926960e-16     6.262184e-17     -9.533437e-17    7.781231e-18     -7.579475e-18    2.492821e-18     3.240402e-19     3.619443e-19     -5.962801e-18    -1.610232e-17    2.036059e-17     -1.607868e-16    3.116399e-14     -1.114127e-14    2.281571e-13     -8.769922e-14    2.854997e+04     -2.511385e-12    3.038487e+04     -7.595870e-12    -3.038486e+04    -1.090601e-11    1.348235e-10     -5.961929e-11    -7.838984e-01    -1.708856e-07    8.805198e-08     -1.896533e-07    
1.969616e-01     3.472964e-02     2.000000e-01     1.000000e+01     1.774544e-01     2.781413e-01     2.062392e-02     8.448448e-02     1.688742e-01     4.513292e-07     -1.589191e-08    3.386269e-07     -2.919188e-11    9.895888e-11     2.855003e+04     4.937316e-13     -2.502949e-13    7.129729e-14     3.415114e-16     5.290787e-14     -3.204955e-15    9.013723e-16     5.441676e-17     1.539811e-16     -1.532984e-18    5.614759e-18     3.038493e+04     0.000000e+00     -2.137360e-19    -4.939386e-19    -1.320471e-18    -1.181948e-17    2.957917e-13     -1.063726e-15    6.354955e-16     -2.211799e-15    -9.815049e-16    -3.028791e-15    -3.038492e+04    -2.681804e-11    -2.855003e+04    -4.600863e-11    -2.111991e-11    -7.145087e-11    -7.587119e-01    -1.943791e-07    1.590721e-08     -3.384602e-07    
2.215817e-01     3.907084e-02     2.250000e-01     1.000000e+01     2.035103e-01     2.898164e-01     2.145246e-02     9.329182e-02     1.885409e-01     7.919193e-07     9.413388e-08     1.782510e-07     1.362612e-13     3.036849e-13     1.238083e-15     3.179698e-15     3.116046e-16     6.256055e-16     -5.706677e-17    2.758980e-16     2.907684e-18     2.028511e-17     -7.755206e-18    5.499582e-18     -7.875285e-19    9.846526e-19     -2.194535e-15    -1.459994e-15    1.011369e-13     -7.568312e-14    -2.872832e-13    -1.542122e-13    1.172254e-11     -2.632137e-12    3.038499e+04     -6.380531e-12    2.855010e+04     -9.988570e-12    -3.038498e+04    -4.712093e-11    -2.855010e+04    -5.034653e-11    -3.463655e-10    -6.159804e-10    -9.376000e-08    -1.776136e-07    -7.357699e-01    -2.452531e-07    
2.462019e-01     4.341204e-02     2.500000e-01     1.000000e+01     2.303315e-01     3.005377e-01     2.201249e-02     1.014915e-01     2.076834e-01     1.290385e-06     1.591344e-07     2.873727e-07     -3.901403e-11    1.484302e-11     3.294725e-14     3.453472e-13     -1.444974e-16    9.438315e-17     -1.887277e-17    4.216184e-17     -3.272830e-19    1.233906e-18     -6.505076e-18    -1.563349e-17    -6.863239e-16    -2.181585e-16    -9.282192e-17    -3.112841e-16    2.401671e-14     -1.212647e-14    -1.299616e-13    -1.373004e-13    3.998821e-13     -3.804376e-13    7.976981e-11     -6.421038e-12    3.038506e+04     -1.458407e-11    2.855018e+04     -2.636242e-11    -3.038505e+04    -6.480321e-11    -2.855018e+04    -7.362261e-11    -1.591675e-07    -2.873111e-07    -7.153832e-01    -3.399560e-07    
2.708221e-01     4.775325e-02     2.750000e-01     1.000000e+01     2.578493e-01     3.105332e-01     2.239255e-02     1.090725e-01     2.262378e-01     1.978513e-06     -2.880006e-07    5.115430e-08     -1.725501e-13    1.132115e-13     9.729405e-16     6.518258e-16     -6.688466e-17    6.880645e-17     5.491875e-18     1.893085e-18     -1.265007e-18    1.301303e-18     4.323323e-17     -1.958280e-17    -1.075246e-15    -3.083947e-16    1.122474e-13     -9.792301e-15    -4.053628e-14    -2.997361e-14    -1.159901e-13    -6.386744e-14    2.561459e-10     -2.393369e-11    3.038514e+04     -2.400295e-11    2.855027e+04     -3.001793e-11    -1.181029e-10    -5.138978e-11    -3.038513e+04    -9.570771e-11    -2.855027e+04    -1.194951e-10    2.878222e-07     -5.117105e-08    -6.977975e-01    -4.948893e-07    
