Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:24:40
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
4.924039e-02     8.682409e-03     5.000000e-02     1.000000e+01     3.949126e-02     1.580219e-01     7.106501e-03     2.237476e-02     -1.354511e-01    1.237098e-12     -5.477116e-01    2.617699e-13     -2.854978e+04    1.148440e-13     4.332598e-02     7.624741e-14     3.038470e+04     3.453231e-14     -2.945290e+04    9.300953e-15     -2.930581e-02    8.221189e-15     -1.694575e-04    1.406786e-15     9.336302e-13     8.974126e-16     -3.521045e-15    -2.116579e-17    1.694575e-04     -2.253192e-16    2.945291e+04     -9.316013e-15    -3.038470e+04    -3.423102e-14    -9.332724e-01    -1.027674e-13    2.854978e+04     -1.151541e-13    1.069104e+00     -1.186594e-13    5.520715e-01     -1.906417e-13    2.095244e-01     -1.169935e-12    7.106501e-03     -2.237476e-02    3.949126e-02     -1.580219e-01    
7.386058e-02     1.302361e-02     7.500000e-02     1.000000e+01     6.032038e-02     1.892406e-01     1.036159e-02     3.344796e-02     -1.609754e-01    7.328112e-13     -9.010671e-01    1.313153e-13     -5.463409e-01    8.457372e-14     -4.362115e-02    3.015585e-14     2.854980e+04     1.406656e-14     3.038472e+04     1.324223e-14     2.211394e-13     1.459115e-15     2.945292e+04     8.439791e-16     2.541863e-04     3.145249e-16     -3.895734e-15    -1.365691e-16    -2.541863e-04    -7.910273e-16    -2.945290e+04    -8.999205e-16    -2.854980e+04    -1.299475e-14    2.704444e-01     -1.337711e-14    -3.038472e+04    -1.419619e-14    6.485286e-02     -5.397832e-14    5.532174e-01     -7.754599e-14    1.104347e+00     -9.059583e-14    1.036159e-02     -3.344796e-02    6.032038e-02     -1.892406e-01    
9.848078e-02     1.736482e-02     1.000000e-01     1.000000e+01     8.196743e-02     2.136936e-01     1.327956e-02     4.436315e-02     1.139970e+00     5.528151e-13     -1.823198e-01    3.126500e-13     -3.038474e+04    4.418890e-14     5.545775e-01     2.794495e-14     8.621544e-02     2.119502e-14     2.854983e+04     1.645760e-14     -2.945290e+04    8.196571e-16     -4.249368e-13    3.272335e-16     -3.389151e-04    4.686829e-18     -1.406184e-15    -8.443868e-17    2.945292e+04     -7.979355e-16    3.389151e-04     -3.128797e-15    -2.854983e+04    -1.790221e-14    3.038475e+04     -4.281533e-14    -5.447161e-01    -4.437277e-14    -5.750816e-02    -6.893556e-14    3.260734e-01     -3.157204e-13    -8.698244e-01    -4.951568e-13    1.327956e-02     -4.436315e-02    8.196743e-02     -2.136936e-01    
1.231010e-01     2.170602e-02     1.250000e-01     1.000000e+01     1.044909e-01     2.337362e-01     1.578518e-02     5.503914e-02     -8.397262e-01    8.130865e-13     5.563657e-01     9.528971e-14     -2.854987e+04    1.741940e-14     -3.038478e+04    1.690978e-14     -4.236440e-04    1.387296e-15     -2.945290e+04    6.945534e-16     4.426916e-15     3.004236e-17     2.945293e+04     -7.240579e-16    5.558996e-13     -1.014746e-15    4.236440e-04     -5.521308e-15    2.854987e+04     -1.646627e-14    3.038478e+04     -1.790218e-14    1.073573e-01     -2.210088e-14    -7.078708e-02    -3.901128e-14    -5.427457e-01    -1.376294e-13    3.782134e-01     -4.102946e-13    1.175924e+00     -7.896465e-13    -2.014510e-01    -8.753130e-13    1.578518e-02     -5.503914e-02    1.044909e-01     -2.337362e-01    
1.477212e-01     2.604723e-02     1.500000e-01     1.000000e+01     1.279250e-01     2.506653e-01     1.783722e-02     6.538271e-02     -8.109923e-01    4.611087e-13     -8.325044e-02    8.853916e-14     -5.403198e-01    8.568615e-14     -2.854991e+04    2.665159e-14     -2.945289e+04    7.501872e-16     -1.316494e-15    -1.804637e-16    -3.038482e+04    -2.897595e-16    5.083730e-04     -2.962916e-16    3.304388e-13     -3.141508e-16    3.038482e+04     -4.787099e-16    2.945293e+04     -7.604634e-16    -5.083729e-04    -1.246878e-15    1.282208e-01     -2.220482e-14    2.854991e+04     -2.594850e-14    5.590563e-01     -8.274665e-14    4.274245e-01     -3.861487e-13    -2.193882e-01    -5.525965e-13    1.212167e+00     -7.150992e-13    1.783722e-02     -6.538271e-02    1.279250e-01     -2.506653e-01    
1.723414e-01     3.038843e-02     1.750000e-01     1.000000e+01     1.522729e-01     2.653170e-01     1.943411e-02     7.529883e-02     1.248666e+00     2.327930e-12     -2.367635e-01    1.229703e-12     1.487467e-01     1.267777e-13     2.854997e+04     5.126018e-14     -3.038486e+04    4.934488e-14     -5.373094e-01    4.042538e-14     -5.931019e-04    2.523869e-15     -4.204028e-13    1.179853e-15     2.945293e+04     5.998144e-18     5.931020e-04     -1.577594e-16    -2.945289e+04    -1.684951e-16    -3.067899e-15    -4.072501e-16    -2.854997e+04    -4.985172e-14    5.639601e-01     -4.996439e-14    3.038487e+04     -5.059867e-14    -9.466207e-02    -6.913455e-14    4.730146e-01     -5.927699e-13    -7.838832e-01    -2.409285e-12    1.943411e-02     -7.529883e-02    1.522729e-01     -2.653170e-01    
1.969616e-01     3.472964e-02     2.000000e-01     1.000000e+01     1.775058e-01     2.782774e-01     2.061256e-02     8.470366e-02     5.111586e-01     6.701413e-13     -1.047605e-01    5.601028e-13     -5.335714e-01    4.533665e-13     3.038493e+04     2.111764e-13     -2.855003e+04    1.788768e-13     1.285389e+00     1.397876e-13     5.753130e-01     7.177067e-14     2.945294e+04     4.344057e-15     -4.762606e-16    2.473070e-16     6.778311e-04     -7.034372e-17    1.012761e-12     -1.246537e-15    -6.778310e-04    -1.582477e-15    -2.945289e+04    -4.330310e-15    1.688742e-01     -1.485663e-13    2.855003e+04     -1.761730e-13    -3.038492e+04    -2.134020e-13    -2.540184e-01    -2.966331e-13    -7.586976e-01    -5.967812e-13    2.061256e-02     -8.470366e-02    1.775058e-01     -2.782774e-01    
2.215817e-01     3.907084e-02     2.250000e-01     1.000000e+01     2.035703e-01     2.899725e-01     2.143911e-02     9.353537e-02     1.322311e+00     8.415066e-13     -7.357572e-01    3.447813e-13     -1.132674e-01    2.325387e-13     -5.289649e-01    1.916066e-13     -3.038498e+04    1.357002e-13     2.855010e+04     8.371161e-14     -2.945289e+04    9.560179e-15     7.625603e-04     2.427766e-15     3.265905e-13     1.476727e-15     -1.438517e-15    -1.571054e-17    -7.625602e-04    -1.736686e-16    2.945294e+04     -1.000038e-14    -2.855010e+04    -8.301038e-14    3.038499e+04     -1.352063e-13    5.339047e-01     -1.371451e-13    1.885411e-01     -5.784000e-13    6.013601e-01     -6.588106e-13    -2.714822e-01    -9.069877e-13    2.143911e-02     -9.353537e-02    2.035703e-01     -2.899725e-01    
2.462019e-01     4.341204e-02     2.500000e-01     1.000000e+01     2.303997e-01     3.007145e-01     2.199743e-02     1.017588e-01     -2.894050e-01    3.907950e-13     -7.153725e-01    2.520751e-13     -2.855018e+04    8.423741e-14     3.038506e+04     5.054365e-14     -5.233849e-01    4.132342e-14     2.076839e-01     3.966851e-14     6.401373e-01     6.242010e-15     -2.945289e+04    7.501872e-16     2.026648e-15     -2.583699e-16    8.472896e-04     -4.522488e-16    2.945295e+04     -6.385747e-16    4.192126e-13     -6.902453e-16    -8.472895e-04    -1.177702e-15    -1.198991e-01    -1.066308e-14    5.434410e-01     -5.013428e-14    -3.038505e+04    -5.087944e-14    2.855018e+04     -8.387929e-14    1.359409e+00     -4.843035e-13    2.199743e-02     -1.017588e-01    2.303997e-01     -3.007145e-01    
2.708221e-01     4.775325e-02     2.750000e-01     1.000000e+01     2.579251e-01     3.107311e-01     2.237607e-02     1.093629e-01     6.835168e-01     8.976828e-13     -3.079710e-01    7.712876e-13     -6.977892e-01    5.498286e-13     3.038514e+04     3.435831e-14     -5.168111e-01    3.177632e-14     -2.855027e+04    2.061011e-14     -9.320189e-04    3.031532e-16     2.945296e+04     2.672746e-16     -2.945289e+04    -2.912083e-16    4.573792e-15     -3.907703e-16    1.096994e-13     -1.316074e-15    9.320190e-04     -1.804606e-15    2.855027e+04     -2.054292e-14    5.480758e-01     -3.014499e-14    -3.038513e+04    -3.439213e-14    2.262387e-01     -9.356640e-14    -1.243820e-01    -1.566689e-13    1.396665e+00     -4.686949e-13    2.237607e-02     -1.093629e-01    2.579251e-01     -3.107311e-01    
