Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 14:48:42
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
8.660254e-03     5.000000e-03     1.000000e-02     3.000000e+01     -3.443847e+04    4.584117e-12     3.443847e+04     3.310413e-12     1.206429e-12     8.999307e-13     -1.125766e-12    4.234066e-13     2.978463e-14     1.575297e-13     -2.219028e-15    5.444217e-15     -2.998304e-17    1.252207e-17     -2.010627e-13    -1.933833e-13    -3.627334e+04    -1.882181e-12    3.627334e+04     -3.854690e-12    -2.772464e-07    -4.507548e-12    2.772467e-07     -5.475256e-12    -8.913523e-03    -4.570399e-08    8.913523e-03     -4.570473e-08    
1.732051e-02     1.000000e-02     2.000000e-02     3.000000e+01     3.627334e+04     1.693449e-12     2.508426e-13     5.466279e-13     -3.627334e+04    1.133742e-13     1.858863e-14     3.964942e-14     -7.474370e-17    2.769055e-18     1.755987e-14     -1.889588e-15    -4.181791e-13    -2.119962e-13    3.443847e+04     -8.684796e-13    1.679478e-12     -1.139885e-12    -3.443847e+04    -1.854573e-12    1.109275e-06     -3.839506e-11    -1.109275e-06    -3.906536e-11    -1.781882e-02    -3.640208e-07    1.781882e-02     -3.640217e-07    
2.598076e-02     1.500000e-02     3.000000e-02     3.000000e+01     -3.627335e+04    3.017131e-12     -3.892596e-13    1.022382e-12     3.720840e-15     7.750961e-16     -3.281687e-17    -3.351312e-17    1.591730e-13     -7.976704e-15    6.747016e-13     -9.556653e-15    3.627335e+04     -1.238592e-13    -9.773856e-14    -1.426459e-13    -3.443847e+04    -7.306847e-13    3.443847e+04     -4.144991e-12    2.495996e-06     -1.292139e-10    -2.495996e-06    -1.332556e-10    2.670777e-02     -1.219566e-06    -2.670777e-02    -1.219570e-06    
3.464102e-02     2.000000e-02     4.000000e-02     3.000000e+01     -3.443848e+04    1.026910e-11     3.443848e+04     1.054548e-12     -3.649453e-14    3.173018e-13     -5.965661e-14    1.515881e-13     -4.156357e-18    -3.583726e-17    1.160548e-15     -6.367208e-15    -2.713683e-13    -3.395948e-13    -5.954377e-13    -1.227331e-12    -3.627335e+04    -1.560292e-12    3.627335e+04     -1.075781e-11    4.437419e-06     -3.099835e-10    -4.437419e-06    -3.120144e-10    3.557251e-02     -2.861333e-06    -3.557251e-02    -2.861338e-06    
4.330127e-02     2.500000e-02     5.000000e-02     3.000000e+01     3.627336e+04     5.039850e-12     3.443849e+04     1.556867e-12     1.106592e-13     2.026183e-13     -1.511755e-13    1.471673e-13     2.291983e-15     3.181756e-15     1.626076e-17     -2.200953e-17    7.320139e-13     -2.495881e-13    3.652696e-14     -2.007823e-12    -3.627336e+04    -3.532229e-12    -3.443849e+04    -7.472489e-12    -6.933551e-06    -6.062614e-10    6.933551e-06     -6.081575e-10    4.440550e-02     -5.515799e-06    -4.440550e-02    -5.515802e-06    
5.196152e-02     3.000000e-02     6.000000e-02     3.000000e+01     3.627337e+04     1.366325e-12     -2.416322e-13    6.187846e-13     -4.983534e-14    5.403328e-14     6.579878e-18     7.244806e-18     -1.491928e-15    -3.077168e-16    9.598470e-14     -1.174556e-13    -3.627337e+04    -9.543328e-13    3.096872e-12     -9.980617e-13    3.443850e+04     -1.004402e-12    -3.443850e+04    -4.691803e-12    9.984404e-06     -1.047654e-09    -9.984404e-06    -1.050664e-09    -5.319961e-02    -9.380871e-06    5.319961e-02     -9.380875e-06    
6.062178e-02     3.500000e-02     7.000000e-02     3.000000e+01     -3.443851e+04    2.564801e-12     1.605940e-13     1.593064e-12     -8.486157e-14    3.161617e-13     -2.370482e-17    2.369703e-18     1.557604e-15     -1.316081e-14    -6.471548e-14    -1.313825e-13    -3.627338e+04    -1.003220e-12    1.561578e-12     -1.942887e-12    3.443851e+04     -6.840880e-12    3.627338e+04     -1.110817e-11    -1.359000e-05    -1.666221e-09    1.359000e-05     -1.666653e-09    -6.194819e-02    -1.462068e-05    6.194819e-02     -1.462068e-05    
6.928203e-02     4.000000e-02     8.000000e-02     3.000000e+01     3.443852e+04     4.031200e-12     3.627339e+04     2.129854e-12     8.557850e-13     1.255732e-12     4.839770e-14     6.662957e-14     1.669198e-14     1.116042e-14     4.590010e-17     3.651099e-18     -4.319845e-13    -3.399197e-13    -7.226721e-13    -8.405801e-13    -3.443852e+04    -1.670703e-11    -3.627339e+04    -1.775091e-11    -1.775036e-05    -2.485876e-09    1.775036e-05     -2.489597e-09    7.064509e-02     -2.136101e-05    -7.064509e-02    -2.136102e-05    
7.794229e-02     4.500000e-02     9.000000e-02     3.000000e+01     2.825262e-13     2.453831e-13     3.356832e-17     2.143706e-17     -1.064636e-14    -6.690690e-15    -5.297145e-14    -2.538016e-13    -3.065017e-13    -3.100272e-13    -3.056492e-12    -3.689429e-13    3.627340e+04     -5.526600e-12    -3.627340e+04    -7.113723e-12    3.443854e+04     -2.062302e-11    -3.443854e+04    -2.211709e-11    2.246550e-05     -3.541131e-09    -2.246550e-05    -3.542881e-09    7.928472e-02     -2.968521e-05    -7.928472e-02    -2.968521e-05    
8.660254e-02     5.000000e-02     1.000000e-01     3.000000e+01     2.388746e-13     1.873686e-13     -3.449727e-13    1.344050e-13     5.699331e-17     -1.632329e-17    -2.755413e-15    -1.880718e-15    1.830075e-13     -2.573178e-13    6.670933e-13     -6.794177e-13    -3.627342e+04    -1.600581e-11    -3.443855e+04    -2.077103e-11    3.627342e+04     -2.229104e-11    3.443855e+04     -2.773452e-11    2.773545e-05     -4.857742e-09    -2.773546e-05    -4.859834e-09    -8.786198e-02    -3.963014e-05    8.786198e-02     -3.963014e-05    
