Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 14:50:20
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
8.660254e-03     5.000000e-03     1.000000e-02     3.000000e+01     -3.443847e+04    4.723919e-13     3.627334e+04     4.488178e-13     -4.920376e-03    8.256583e-14     8.657219e-03     2.760227e-14     -1.057758e-02    2.323854e-14     3.534397e+04     1.989600e-15     -1.240381e-18    9.268449e-23     -1.250031e-19    -5.561655e-23    -3.534397e+04    -1.989600e-15    1.057758e-02     -2.323856e-14    -8.657219e-03    -2.760220e-14    4.920376e-03     -8.256587e-14    -3.627334e+04    -4.488178e-13    3.443847e+04     -4.723919e-13    
1.732051e-02     1.000000e-02     2.000000e-02     3.000000e+01     -3.443847e+04    1.235601e-12     3.627334e+04     1.173373e-12     1.731042e-02     1.335024e-13     -2.116071e-02    8.655354e-14     -9.840456e-03    2.466395e-14     3.534397e+04     3.572833e-15     2.110650e-18     6.174624e-22     -1.064288e-18    4.862328e-22     -3.534397e+04    -3.572833e-15    9.840456e-03     -2.466395e-14    2.116071e-02     -8.655354e-14    -1.731042e-02    -1.335024e-13    -3.627334e+04    -1.173373e-12    3.443847e+04     -1.235601e-12    
2.598076e-02     1.500000e-02     3.000000e-02     3.000000e+01     -3.443847e+04    7.288652e-13     3.627335e+04     6.917978e-13     -1.475994e-02    1.799138e-13     -3.175489e-02    9.222047e-14     2.595561e-02     8.000635e-14     -3.534397e+04    8.107400e-15     -2.883229e-15    -1.609223e-23    -1.737424e-19    -6.819477e-22    3.534397e+04     -8.107400e-15    -2.595561e-02    -8.000635e-14    3.175489e-02     -9.222047e-14    1.475994e-02     -1.799138e-13    -3.627335e+04    -6.917978e-13    3.443847e+04     -7.288652e-13    
3.464102e-02     2.000000e-02     4.000000e-02     3.000000e+01     -3.443848e+04    4.703404e-13     3.627335e+04     4.464790e-13     3.458890e-02     1.109283e-13     -4.236556e-02    6.557863e-14     1.967854e-02     3.667786e-14     3.534397e+04     1.579175e-15     2.818559e-18     -3.710591e-22    -1.058167e-18    -3.931845e-21    -3.534397e+04    -1.579175e-15    -1.967854e-02    -3.667786e-14    4.236556e-02     -6.557863e-14    -3.458890e-02    -1.109283e-13    -3.627335e+04    -4.464790e-13    3.443848e+04     -4.703404e-13    
4.330127e-02     2.500000e-02     5.000000e-02     3.000000e+01     -4.320650e-02    1.877161e-13     -3.443849e+04    1.372552e-13     5.299802e-02     1.320384e-13     3.627336e+04     1.266340e-13     -2.459596e-02    1.084660e-13     3.534398e+04     6.552518e-16     3.228474e-18     3.744924e-22     2.225763e-16     1.875663e-23     -3.534398e+04    -6.552518e-16    2.459596e-02     -1.084660e-13    -3.627336e+04    -1.266340e-13    -5.299802e-02    -1.320384e-13    3.443849e+04     -1.372552e-13    4.320650e-02     -1.877161e-13    
5.196152e-02     3.000000e-02     6.000000e-02     3.000000e+01     -5.180477e-02    1.146366e-13     -3.443850e+04    9.511364e-14     3.627337e+04     9.099408e-14     2.951189e-02     6.530819e-14     6.365745e-02     4.133822e-14     3.534398e+04     1.412109e-15     -1.444217e-34    -1.929763e-33    5.280466e-18     -1.287341e-21    -3.534398e+04    -1.412109e-15    -6.365745e-02    -4.133822e-14    -2.951189e-02    -6.530819e-14    -3.627337e+04    -9.099408e-14    3.443850e+04     -9.511364e-14    5.180477e-02     -1.146366e-13    
6.062178e-02     3.500000e-02     7.000000e-02     3.000000e+01     -3.443851e+04    1.389710e-12     3.627338e+04     1.317744e-12     6.038023e-02     3.523157e-13     -7.434884e-02    3.394870e-13     -3.442604e-02    8.387860e-14     3.534398e+04     3.380764e-15     5.451987e-18     4.591941e-21     -1.104954e-29    -7.100520e-27    -3.534398e+04    -3.380764e-15    3.442604e-02     -8.387860e-14    7.434884e-02     -3.394870e-13    -6.038023e-02    -3.523157e-13    -3.627338e+04    -1.317744e-12    3.443851e+04     -1.389710e-12    
6.928203e-02     4.000000e-02     8.000000e-02     3.000000e+01     -3.443852e+04    1.233885e-12     3.627339e+04     1.170832e-12     6.892963e-02     5.348318e-13     -8.507697e-02    3.424167e-13     3.933812e-02     4.710515e-14     -3.534399e+04    2.778599e-15     3.295704e-34     -4.432246e-30    7.713643e-19     -6.179017e-23    3.534399e+04     -2.778599e-15    -3.933812e-02    -4.710515e-14    8.507697e-02     -3.424167e-13    -6.892963e-02    -5.348318e-13    -3.627339e+04    -1.170832e-12    3.443852e+04     -1.233885e-12    
7.794229e-02     4.500000e-02     9.000000e-02     3.000000e+01     -3.443854e+04    7.339386e-13     3.627340e+04     6.967078e-13     7.744990e-02     2.436332e-13     -9.584643e-02    1.974547e-13     4.424782e-02     1.942484e-13     3.534399e+04     2.022158e-14     2.803131e-18     2.812491e-21     3.441136e-16     4.252416e-22     -3.534399e+04    -2.022158e-14    -4.424782e-02    -1.942484e-13    9.584643e-02     -1.974547e-13    -7.744990e-02    -2.436332e-13    -3.627340e+04    -6.967078e-13    3.443854e+04     -7.339386e-13    
8.660254e-02     5.000000e-02     1.000000e-01     3.000000e+01     -3.443855e+04    7.690852e-13     3.627342e+04     7.296412e-13     8.593822e-02     2.932978e-13     -1.066616e-01    2.752029e-13     -4.915485e-02    8.408828e-14     -3.534399e+04    2.424438e-14     -1.262000e-28    -1.588203e-26    -7.604227e-19    -5.861946e-21    3.534399e+04     -2.424438e-14    4.915485e-02     -8.408828e-14    1.066616e-01     -2.752029e-13    -8.593822e-02    -2.932979e-13    -3.627342e+04    -7.296412e-13    3.443855e+04     -7.690852e-13    
9.526279e-02     5.500000e-02     1.100000e-01     3.000000e+01     -3.443857e+04    7.681920e-13     3.627343e+04     7.286870e-13     9.439199e-02     2.755824e-13     -1.175265e-01    2.437172e-13     5.405890e-02     1.354826e-13     -3.534400e+04    9.289029e-15     4.936382e-18     1.255294e-20     1.892545e-29     1.898272e-27     3.534400e+04     -9.289029e-15    -5.405890e-02    -1.354826e-13    1.175265e-01     -2.437172e-13    -9.439199e-02    -2.755824e-13    -3.627343e+04    -7.286870e-13    3.443857e+04     -7.681920e-13    
1.039230e-01     6.000000e-02     1.200000e-01     3.000000e+01     -3.443859e+04    7.266412e-13     3.627345e+04     6.906277e-13     1.028088e-01     3.112766e-13     -1.284452e-01    2.929603e-13     5.895969e-02     5.609867e-14     -3.534401e+04    6.975462e-15     -1.742344e-16    6.541871e-21     -4.086435e-18    1.105370e-21     3.534401e+04     -6.975462e-15    -5.895969e-02    -5.609866e-14    1.284452e-01     -2.929603e-13    -1.028088e-01    -3.112763e-13    -3.627345e+04    -6.906277e-13    3.443859e+04     -7.266412e-13    
1.125833e-01     6.500000e-02     1.300000e-01     3.000000e+01     -3.443861e+04    7.273229e-13     3.627347e+04     6.923906e-13     1.111867e-01     4.311852e-13     -1.394211e-01    3.143341e-13     6.385690e-02     2.974595e-14     -3.534401e+04    4.622923e-15     4.114742e-15     -4.274631e-21    -1.274885e-18    -1.469909e-20    3.534401e+04     -4.622923e-15    -6.385690e-02    -2.974595e-14    1.394211e-01     -3.143341e-13    -1.111867e-01    -4.311853e-13    -3.627347e+04    -6.923906e-13    3.443861e+04     -7.273229e-13    
1.212436e-01     7.000000e-02     1.400000e-01     3.000000e+01     -3.443864e+04    1.257738e-12     3.627349e+04     1.195223e-12     1.195235e-01     7.344016e-13     -1.504578e-01    5.888366e-13     -6.875025e-02    9.383617e-14     3.534402e+04     6.515137e-15     -5.880919e-18    9.218945e-21     2.931076e-30     -6.206903e-27    -3.534402e+04    -6.515137e-15    6.875025e-02     -9.383617e-14    1.504578e-01     -5.888366e-13    -1.195235e-01    -7.344016e-13    -3.627349e+04    -1.195223e-12    3.443864e+04     -1.257738e-12    
1.299038e-01     7.500000e-02     1.500000e-01     3.000000e+01     -3.443866e+04    1.275037e-12     3.627352e+04     1.211727e-12     1.278178e-01     9.596396e-13     -1.615585e-01    5.667288e-13     7.363942e-02     1.248019e-13     3.534402e+04     2.607032e-14     -5.020404e-18    4.129858e-20     9.725512e-18     1.026827e-20     -3.534402e+04    -2.607032e-14    -7.363942e-02    -1.248018e-13    1.615585e-01     -5.667288e-13    -1.278178e-01    -9.596395e-13    -3.627352e+04    -1.211727e-12    3.443866e+04     -1.275037e-12    
1.385641e-01     8.000000e-02     1.600000e-01     3.000000e+01     3.443869e+04     5.252308e-13     -3.627354e+04    4.987167e-13     1.727261e-01     2.139208e-13     -7.852411e-02    6.075923e-14     -1.360680e-01    4.857937e-14     -3.534403e+04    2.143143e-14     1.548853e-17     -7.220097e-20    -8.511884e-18    -2.697349e-19    3.534403e+04     -2.143143e-14    1.360680e-01     -4.857996e-14    7.852411e-02     -6.075925e-14    -1.727261e-01    -2.139208e-13    3.627354e+04     -4.987167e-13    -3.443869e+04    -5.252308e-13    
